Link,Duration,Music,Likes,Comments,Saved,Hashtags,DatePosted,views,LikesToViewsRatio,DayOfWeek,HourOfDay,Minute,HalfHour,Minutes,Seconds
https://www.tiktok.com/@soneedo/video/7298798923995434245,37,sonido original - soneedo,1490,11,680,"['#juego', '#juegos', '#robloxfyp', '#multijugador', '#soneedo', '#roblox', '#juegazo', '#miedoyterror', '#terror', '#miedo', '#ihearittoo']",2023-11-07 13:07:34,9759,0.15,Tuesday,13,7,13.116666666666667,0,37
https://www.tiktok.com/@soneedo/video/7298388997125049605,34,sonido original - soneedo,1944,36,898,"['#terror', '#miedo', '#miedoyterror', '#roblox', '#soneedo', '#multijugador', '#juegos', '#robloxfyp', '#juegos', '#phasmaphobia', '#juego', '#robloxmiedo']",2023-11-06 10:36:51,10300,0.19,Monday,10,36,10.6,0,34
https://www.tiktok.com/@soneedo/video/7298081991050743045,49,sonido original - soneedo,215,5,66,"['#juego', '#juegos', '#multijugador', '#soneedo', '#roblox', '#miedoyterror', '#miedo', '#terror', '#ihearittoo', '#juegosdemiedo']",2023-11-05 14:45:32,2378,0.09,Sunday,14,45,14.75,0,49
https://www.tiktok.com/@soneedo/video/7297998924210572549,40,sonido original - soneedo,2026,37,843,"['#miedo', '#terror', '#miedoyterror', '#roblox', '#soneedo', '#robloxfyp', '#miltijugador', '#juegazo', '#multijugador', '#juegos', '#juego', '#robloxfyp', '#']",2023-11-05 09:23:10,13500,0.15,Sunday,9,23,9.383333333333333,0,40
https://www.tiktok.com/@soneedo/video/7297683910677335301,40,sonido original - soneedo,4403,41,1843,"['#miedo', '#terror', '#juegazo', '#soneedo', '#miltijugador', '#roblox', '#robloxfyp', '#juegos', '#juego']",2023-11-04 13:00:45,29700,0.15,Saturday,13,0,13.0,0,40
https://www.tiktok.com/@soneedo/video/7296613722179587334,38,sonido original - soneedo,5453,68,1987,"['#miedo', '#soneedo', '#robloxmiedo', '#robloxfyp', '#terror', '#roblox', '#multijugador', '#gamerentiktok']",2023-11-01 15:47:53,38700,0.14,Wednesday,15,47,15.783333333333333,0,38
https://www.tiktok.com/@soneedo/video/7294716572269169926,38,sonido original - soneedo,189400,1918,76200,"['#roblox', '#miedo', '#terror', '#juego', '#juegos', '#juegosdemiedo', '#ihearittoo', '#robloxfyp', '#robloxmiedo', '#soneedo']",2023-10-27 13:05:58,1300000,0.15,Friday,13,5,13.083333333333334,0,38
https://www.tiktok.com/@soneedo/video/7294349917185641733,32,sonido original - soneedo,2017,62,875,"['#dragonballrevenge', '#dragonball', '#goku', '#vegeta', '#dragonbal', '#roblox', '#soneedo', '#DRAGONBALL', '#robloxfyp', '#robloxspanish', '#dragonballrage', '#dragonballrevengeroblox', '#tablos', '#gamerentiktok']",2023-10-26 13:23:09,40700,0.05,Thursday,13,23,13.383333333333333,0,32
https://www.tiktok.com/@soneedo/video/7293604866654489862,46,sonido original - soneedo,3574,40,1549,"['#juegos', '#robloxhorror', '#roblox', '#juego', '#fyp', '#robloxfyp', '#soneedo', '#robloxfyp', '#zombies', '#juegosdezombies', '#zombies2', '#zombies3', '#']",2023-10-24 13:12:00,25500,0.14,Tuesday,13,12,13.2,0,46
https://www.tiktok.com/@soneedo/video/7293231124216597766,36,sonido original - soneedo,9281,127,4375,"['#terror', '#miedo', '#multijugador', '#robloxgames', '#scary', '#robloxfyp', '#soneedo', '#fyp', '#juego', '#roblox', '#robloxhorror', '#juegos']",2023-10-23 13:01:40,61500,0.15,Monday,13,1,13.016666666666667,0,36
https://www.tiktok.com/@soneedo/video/7292511141870177542,37,sonido original - soneedo,11300,107,4353,"['#robloxhorror', '#roblox', '#juego', '#fyp', '#soneedo', '#robloxfyp', '#scary', '#robloxgames', '#multijugador', '#terror', '#miedo']",2023-10-21 14:27:45,85100,0.13,Saturday,14,27,14.45,0,37
https://www.tiktok.com/@soneedo/video/7292122778415697157,38,sonido original - soneedo,10700,106,4790,"['#terror', '#miedo', '#multijugador', '#juegos', '#robloxgames', '#scary', '#robloxfyp', '#soneedo', '#fyp', '#juego', '#roblox', '#robloxhorror']",2023-10-20 13:20:44,68300,0.16,Friday,13,20,13.333333333333334,0,38
https://www.tiktok.com/@soneedo/video/7291766055989480709,40,sonido original - soneedo,4644,49,2010,"['#roblox', '#robloxedit', '#juego', '#fyp', '#soneedo', '#robloxfyp', '#scary', '#robloxgames', '#multijugador', '#miedo', '#terror', '#juegos', '#']",2023-10-19 14:16:27,29600,0.16,Thursday,14,16,14.266666666666667,0,40
https://www.tiktok.com/@soneedo/video/7291382340385918213,36,sonido original - soneedo,39200,313,17200,"['#terror', '#miedo', '#robloxhorror', '#multijugador', '#robloxgames', '#scary', '#robloxfyp', '#soneedo', '#fyp', '#juego', '#roblox', '#robloxedit']",2023-10-18 13:27:27,260800,0.15,Wednesday,13,27,13.45,0,36
https://www.tiktok.com/@soneedo/video/7290582208673238277,31,sonido original - soneedo,43800,356,17800,"['#fyp', '#roblox', '#soneedo', '#robloxfyp', '#terror', '#miedo', '#scary', '#robloxgames', '#multijugador', '#robloxhorror', '#juegos']",2023-10-16 09:42:31,280100,0.16,Monday,9,42,9.7,0,31
https://www.tiktok.com/@soneedo/video/7289534066884349189,48,sonido original - soneedo,147200,1293,57200,"['#roblox', '#miedo', '#juegos', '#multijugador', '#robloxgames', '#robloxhorror', '#soneedo', '#robloxfyp', '#scary', '#juego']",2023-10-13 13:55:13,933900,0.16,Friday,13,55,13.916666666666666,0,48
https://www.tiktok.com/@soneedo/video/7288834110942940422,37,sonido original - soneedo,5750,58,2652,"['#attackontitan', '#attackontitanroblox', '#attackontitanrevolution', '#roblox', '#soneedo', '#juego', '#robloxfyp', '#multijugador', '#robloxgames', '#amigos', '#shingekinokyojin', '#eren', '#mikasa', '#levi']",2023-10-11 16:39:03,80500,0.07,Wednesday,16,39,16.65,0,37
https://www.tiktok.com/@soneedo/video/7288418768991046918,40,sonido original - soneedo,89800,805,36200,"['#miedo', '#terror', '#soneedo', '#robloxgames', '#robloxfyp', '#multijugador', '#fyp', '#juegos', '#juego', '#robloxterror']",2023-10-10 13:47:18,514900,0.17,Tuesday,13,47,13.783333333333333,0,40
https://www.tiktok.com/@soneedo/video/7288134785480887557,161,sonido original - soneedo,365,9,30,"['#preguntasyrespuestas', '#roblox', '#culturageneral', '#parati', '#soneedo', '#risa', '#diversion', '#robloxgames']",2023-10-09 19:45:00,11200,0.03,Monday,19,45,19.75,0,161
https://www.tiktok.com/@soneedo/video/7288064831435885830,46,sonido original - soneedo,669,8,220,"['#roblox', '#dragonball', '#dragonballroblox', '#soneedo', '#juego', '#juegos', '#multijugador', '#fyp', '#robloxfyp', '#robloxgames']",2023-10-09 14:53:49,11000,0.06,Monday,14,53,14.883333333333333,0,46
https://www.tiktok.com/@soneedo/video/7287303342588480774,32,sonido original - soneedo,1356,24,535,"['#roblox', '#diversion', '#juegos', '#juego', '#multijugador', '#robloxgames', '#minitank', '#minitanks', '#robloxminitanks', '#amigos']",2023-10-07 13:38:51,20500,0.07,Saturday,13,38,13.633333333333333,0,32
https://www.tiktok.com/@soneedo/video/7286930128687402245,35,sonido original - soneedo,279900,2140,102700,"['#roblox', '#robloxfyp', '##terror', '#soneedo', '#multijugador', '#fyp', '#juegos', '#miedo', '#']",2023-10-06 13:30:36,1900000,0.15,Friday,13,30,13.5,0,35
https://www.tiktok.com/@soneedo/video/7286551214479658246,39,sonido original - soneedo,195,9,48,"['#miedo', '#roblox', '#fyp', '#juegos', '#fyp', '#multijugador', '#soneedo', '#terror', '#robloxfyp', '#roblox']",2023-10-05 13:00:13,8867,0.02,Thursday,13,0,13.0,0,39
https://www.tiktok.com/@soneedo/video/7286200788311936262,38,sonido original - soneedo,118500,740,46800,"['#tornado', '#soneedo', '#multijugador', '#fyp', '#juegos', '#robloxgames', '#robloxtwister', '#roblox', '#clima', '#robloxfyp']",2023-10-04 14:20:24,810600,0.15,Wednesday,14,20,14.333333333333334,0,38
https://www.tiktok.com/@soneedo/video/7285444766869769477,35,sonido original - soneedo,7119,57,3014,"['#soneedo', '#fyp', '#roblox', '#terror', '#miedo', '#multijugador', '#juegos', '#fouryou']",2023-10-02 13:26:37,47700,0.15,Monday,13,26,13.433333333333334,0,35
https://www.tiktok.com/@soneedo/video/7284700855893314822,33,sonido original - soneedo,2192,19,851,"['#miedo', '#terror', '#roblox', '#soneedo', '#fyp', '#fouryou', '#juegos']",2023-09-30 13:19:52,19300,0.11,Saturday,13,19,13.316666666666666,0,33
https://www.tiktok.com/@soneedo/video/7283987593505639686,33,sonido original - soneedo,122200,1118,44500,"['#roblox', '#soneedo', '#fyp', '#juegos', '#terror', '#miedo', '#multijugador', '#foryou']",2023-09-28 15:12:06,603200,0.2,Thursday,15,12,15.2,0,33
https://www.tiktok.com/@soneedo/video/7283238490542820613,34,sonido original - soneedo,1594,11,667,"['#foryou', '#multijugador', '#miedo', '#terror', '#juegos', '#fyp', '#soneedo', '#roblox']",2023-09-26 14:45:11,15600,0.1,Tuesday,14,45,14.75,0,34
https://www.tiktok.com/@soneedo/video/7282856925291629829,37,"Mozart/Requiem ""Lacrimosa""(1394506) - Mint",16500,200,5639,"['#soneedo', '#roblox', '#robloxgames', '#fyp', '#juegos', '#terror', '#miedo', '#multijugador', '#foryou']",2023-09-25 14:04:29,114900,0.14,Monday,14,4,14.066666666666666,0,37
https://www.tiktok.com/@soneedo/video/7282113723072859397,48,sonido original - soneedo,500,7,181,"['#juegos', '#fyp', '#robloxgames', '#roblox', '#soneedo', '#multijugador', '#shooter', '#fuerzasespeciales']",2023-09-23 14:00:29,9536,0.05,Saturday,14,0,14.0,0,48
https://www.tiktok.com/@soneedo/video/7281738127243267333,51,sonido original - soneedo,13400,138,5612,"['#terror', '#foryou', '#multijugador', '#soneedo', '#roblox', '#robloxgames', '#fyp', '#juegos']",2023-09-22 13:42:58,84500,0.16,Friday,13,42,13.7,0,51
https://www.tiktok.com/@soneedo/video/7280987048171801861,40,sonido original - soneedo,11400,111,4644,"['#roblox', '#soneedo', '#multijugador', '#fyp', '#foryou', '#terror', '#miedo', '#miedo']",2023-09-20 13:08:23,79100,0.14,Wednesday,13,8,13.133333333333333,0,40
https://www.tiktok.com/@soneedo/video/7280240826427460870,34,sonido original - soneedo,6359,89,2290,"['#MIEDO', '#terror', '#roblox', '#fyp', '#multijugador', '#juego', '#juegos', '#soneedo']",2023-09-19 07:00:00,347500,0.02,Tuesday,7,0,7.0,0,34
https://www.tiktok.com/@soneedo/video/7280242575099841798,45,sonido original - soneedo,82900,905,30800,"['#robloxgames', '#miedo', '#terror', '#foryou', '#fyp', '#multijugador', '#soneedo', '#roblox']",2023-09-18 12:59:29,504000,0.16,Monday,12,59,12.983333333333333,0,45
https://www.tiktok.com/@soneedo/video/7279099411630738694,67,sonido original - soneedo,150,4,12,"['#fyp', '#roblox', '#humor', '#sindentadura', '#soneedo', '#juegos', '#juego', '#voicechatroblox', '#voicechat']",2023-09-15 14:00:00,6104,0.02,Friday,14,0,14.0,0,67
https://www.tiktok.com/@soneedo/video/7218645684210109701,29,Creepy and simple horror background music(1070744) - howlingindicator,355200,3011,106600,"['#miedo', '#gamer', '#videojuego', '#roblox', '#fyp', '#terror', '#multijugador', '#soneedo']",2023-04-05 13:12:05,2400000,0.15,Wednesday,13,12,13.2,0,29
https://www.tiktok.com/@soneedo/video/7212776347352059141,25,"Spooky, quiet, scary atmosphere piano songs - Skittlegirl Sound",599900,6513,168000,"['#miedo', '#videojuego', '#videojuegos', '#scary', '#fy', '#roblox', '#player', '#multiplayer']",2023-03-20 17:36:04,3600000,0.17,Monday,17,36,17.6,0,25
https://www.tiktok.com/@soneedo/video/7278784330803989766,33,sonido original - soneedo,2706,39,1115,"['#roblox', '#soneedo', '#multijugador', '#fyp', '#miedo', '#terror', '#foryou', '#robloxgames']",2023-09-14 14:40:44,26800,0.1,Thursday,14,40,14.666666666666666,0,33
https://www.tiktok.com/@soneedo/video/7278240173970689285,25,sonido original - soneedo,17100,194,6654,"['#ROBLOX', '#MIEDO', '#SCARY', '#TERROR', '#JUEGO', '#TERROR', '#MULTIJUGADOR', '#ROBLOXJUEGOS', '#JUEGOS', '#FYP']",2023-09-13 14:30:00,105300,0.16,Wednesday,14,30,14.5,0,25
https://www.tiktok.com/@soneedo/video/7276197215599594757,29,sonido original - soneedo,5441,55,1927,"['#terror', '#miedo', '#foryou', '#soneedo', '#roblox', '#fyp', '#multijugador']",2023-09-07 15:21:26,48900,0.11,Thursday,15,21,15.35,0,29
https://www.tiktok.com/@soneedo/video/7275472885949549830,13,sonido original - soneedo,1016,4,71,"['#roblox', '#fyp', '#humor', '#soneedo', '#risas', '#foryou']",2023-09-05 16:30:39,15200,0.07,Tuesday,16,30,16.5,0,13
https://www.tiktok.com/@soneedo/video/7275079990780235014,28,Chopin Nocturne No. 2 Piano Mono - moshimo sound design,2948,30,1193,"['#multijugador', '#fyp', '#juego', '#roblox', '#obby', '#juegosderoblox', '#robloxgames', '#divertido']",2023-09-04 15:06:02,24500,0.12,Monday,15,6,15.1,0,28
https://www.tiktok.com/@soneedo/video/7273949316622847238,31,sonido original - soneedo,105600,822,40700,"['#soneedo', '#roblox', '#miedo', '#terror', '#juego', '#juegos', '#fyp', '#multijugador', '#scary']",2023-09-01 13:58:25,648800,0.16,Friday,13,58,13.966666666666667,0,31
https://www.tiktok.com/@soneedo/video/7272865500231732486,33,sonido original - soneedo,15100,150,6446,"['#roblox', '#terror', '#miedo', '#multijugador', '#juego', '#juego', '#juegos', '#fyp']",2023-08-29 15:52:41,104800,0.14,Tuesday,15,52,15.866666666666667,0,33
https://www.tiktok.com/@soneedo/video/7272478773080001798,51,sonido original - soneedo,95,0,4,"['#videojuego', '#multijugador', '#roblox', '#voicechat', '#humor', '#broma', '#risas', '#piropo']",2023-08-28 14:51:58,5280,0.02,Monday,14,51,14.85,0,51
https://www.tiktok.com/@soneedo/video/7272126924317592838,26,sonido original - soneedo,5487,34,1980,"['#roblox', '#premium', '#parati', '#humor', '#multijugador', '#videojuego', '#juego']",2023-08-27 16:06:37,46100,0.12,Sunday,16,6,16.1,0,26
https://www.tiktok.com/@soneedo/video/7271366204055407877,25,sonido original - soneedo,130,1,12,"['#roblox', '#humor', '#voice', '#voicechat', '#parati', '#premium']",2023-08-25 14:54:38,5575,0.02,Friday,14,54,14.9,0,25
https://www.tiktok.com/@soneedo/video/7270983019496803590,34,"Mozart/Requiem ""Lacrimosa""(1394506) - Mint",3462,21,1177,"['#videojuego', '#multijugador', '#soneedo', '#roblox', '#juego', '#miedo', '#terror', '#robloxmiedo', '#parati']",2023-08-24 14:07:41,31600,0.11,Thursday,14,7,14.116666666666667,0,34
https://www.tiktok.com/@soneedo/video/7270246099221253381,28,sonido original - soneedo,186,15,22,"['#soneedo', '#concurso', '#dinero', '#robux', '#videojuego', '#multijugador', '#humor']",2023-08-22 14:28:02,6274,0.03,Tuesday,14,28,14.466666666666667,0,28
https://www.tiktok.com/@soneedo/video/7269842127201357061,40,sonido original - soneedo,670,7,193,"['#terror', '#miedo', '#humor', '#juegos', '#juego', '#videojuego', '#multijugador', '#soneedo', '#roblox']",2023-08-21 12:20:25,10000,0.07,Monday,12,20,12.333333333333334,0,40
https://www.tiktok.com/@soneedo/video/7269140785566584070,31,Carmina Burana Chorus(827975) - MANDEL BLUR,9903,171,2436,"['#soneedo', '#robloxmiedo', '#multijugador', '#videojuego', '#juego', '#juegos', '#humor', '#miedo', '#terror']",2023-08-19 14:58:51,83200,0.12,Saturday,14,58,14.966666666666667,0,31
https://www.tiktok.com/@soneedo/video/7268423945802632453,73,sonido original - soneedo,3933,39,1257,"['#miedo', '#terror', '#juegos', '#juego', '#videojuego', '#multijugador', '#soneedo', '#robloxmiedo']",2023-08-17 16:37:10,27100,0.15,Thursday,16,37,16.616666666666667,0,73
https://www.tiktok.com/@soneedo/video/7267284277782416646,59,sonido original - soneedo,195000,2250,64000,"['#robloxgames', '#robloxmiedo', '#soneedo', '#multijugador', '#terror', '#miedo', '#juego', '#videojuego', '#juegos', '#parati']",2023-08-14 14:54:41,1200000,0.16,Monday,14,54,14.9,0,59
https://www.tiktok.com/@soneedo/video/7266916729232657669,27,sonido original - soneedo,5907,59,2185,"['#roblox', '#juegos', '#juego', '#miedo', '#terror', '#multijugador', '#soneedo', '#robloxmiedo', '#robloxgames']",2023-08-13 15:08:24,48400,0.12,Sunday,15,8,15.133333333333333,0,27
https://www.tiktok.com/@soneedo/video/7265022360133078277,29,Creepy and simple horror background music(1070744) - howlingindicator,35400,402,14000,"['#robloxgames', '#soneedo', '#multijugador', '#terror', '#miedo', '#juego', '#juegos', '#roblox', '#crhonicles']",2023-08-08 12:37:16,240100,0.15,Tuesday,12,37,12.616666666666667,0,29
https://www.tiktok.com/@soneedo/video/7263931085166251269,31,"Mozart/Requiem ""Lacrimosa""(1394506) - Mint",4323,44,1651,"['#juegos', '#juego', '#parati', '#robloxmiedo', '#miedo', '#terror', '#soneedo', '#multijugador', '#robloxgames']",2023-08-05 14:02:34,40600,0.11,Saturday,14,2,14.033333333333333,0,31
https://www.tiktok.com/@soneedo/video/7263564459447225605,31,sonido original - soneedo,306,8,110,"['#zombiesurvivors', '#soneedo', '#robloxgames', '#multijugador', '#roblox', '#robloxzombiesurvivors', '#parati', '#juego', '#juegos']",2023-08-04 14:19:52,8525,0.04,Friday,14,19,14.316666666666666,0,31
https://www.tiktok.com/@soneedo/video/7262819063884270854,25,Aesthetic - Tollan Kim,144,3,41,"['#roblox', '#parati', '#multijugador', '#robloxgames', '#soneedo', '#zombieinvasiontycoon']",2023-08-02 14:07:21,7006,0.02,Wednesday,14,7,14.116666666666667,0,25
https://www.tiktok.com/@soneedo/video/7262459740188445957,26,sonido original - soneedo,78,4,9,"['#soneedo', '#robloxgames', '#roblox', '#parati', '#multijugador', '#risas']",2023-08-01 14:53:00,5832,0.01,Tuesday,14,53,14.883333333333333,0,26
https://www.tiktok.com/@soneedo/video/7261727975773588742,29,Aesthetic - Tollan Kim,86,2,24,"['#foryou', '#juego', '#multijugador', '#parati', '#roblox', '#miedo', '#terror', '#robloxgames', '#soneedo']",2023-07-30 15:33:22,6143,0.01,Sunday,15,33,15.55,0,29
https://www.tiktok.com/@soneedo/video/7261351901424405765,28,Carmina Burana Chorus(827975) - MANDEL BLUR,3514,40,1417,"['#terror', '#miedo', '#soneedo', '#robloxgames', '#roblox', '#juegos', '#parati', '#multijugador', '#juego', '#foryou']",2023-07-29 15:14:02,35000,0.1,Saturday,15,14,15.233333333333333,0,28
https://www.tiktok.com/@soneedo/video/7260968929621708037,34,"Mozart/Requiem ""Lacrimosa""(1394506) - Mint",119000,1268,45800,"['#juego', '#multijugador', '#parati', '#juegos', '#roblox', '#robloxgames', '#soneedo', '#miedo', '#terror']",2023-07-28 14:27:52,855400,0.14,Friday,14,27,14.45,0,34
https://www.tiktok.com/@soneedo/video/7260603319456943365,27,Bebe Dame - Fuerza Regida & Grupo Frontera,240,3,64,"['#soneedo', '#foryou', '#robloxgames', '#roblox', '#juegos', '#parati', '#multijugador', '#juego']",2023-07-27 14:49:08,8029,0.03,Thursday,14,49,14.816666666666666,0,27
https://www.tiktok.com/@soneedo/video/7259823937142459653,26,sonido original - soneedo,227,9,18,"['#reflexion', '#parapensarlo', '#parasaber', '#español', '#soneedo']",2023-07-25 12:24:44,7628,0.03,Tuesday,12,24,12.4,0,26
https://www.tiktok.com/@soneedo/video/7259480119813672197,30,"Carmina Burana, Introduction, Fortuna Imperatrix Mundi: O Fortuna - Franz Welser-Möst",3279,41,980,"['#miedo', '#terror', '#juego', '#multijugador', '#parati', '#juegos', '#soneedo', '#roblox', '#robloxgames', '#foryou']",2023-07-24 14:10:33,30600,0.11,Monday,14,10,14.166666666666666,0,30
https://www.tiktok.com/@soneedo/video/7258735578550766853,31,"Mozart/Requiem ""Lacrimosa""(1394506) - Mint",349500,3435,137000,"['#robloxgames', '#roblox', '#soneedo', '#juegos', '#parati', '#multijugador', '#juego', '#terror', '#miedo', '#videojuego']",2023-07-22 14:01:22,2100000,0.17,Saturday,14,1,14.016666666666667,0,31
https://www.tiktok.com/@soneedo/video/7258375197672131846,41,Bach: Solo Cello Suite No. 1 in G Major (BWV 1007)---Prelude - Charles Curtis,3030,49,933,"['#multijugador', '#juego', '#foryou', '#parati', '#juegos', '#roblox', '#soneedo', '#squidgame', '#robloxgames']",2023-07-21 14:42:54,39300,0.08,Friday,14,42,14.7,0,41
